QID-DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
01-1591,71.92003767861448,3.1731477427864103,16.335430124431625,0.0,0.0,0
01-1938,67.56036155509433,3.7548721735104067,19.6558969024319,0.0,0.0,0
01-1844,67.16224277253352,2.8236847441339847,17.45014978896259,0.0,0.0,0
01-2319,66.45927614426219,3.3083368397307895,21.873612564286667,0.0,0.0,0
01-1827,64.79933448816826,3.655501226268332,18.969613081549124,0.0,0.0,0
01-2344,57.71431803552801,2.664842340816424,14.88787604639672,0.0,0.0,0
01-1680,57.62410762678547,2.4689551320433374,14.960398098772828,0.0,0.0,0
01-2379,52.05507218293481,3.2147697911527455,17.893384229083868,0.0,0.0,0
01-2218,50.963967988490104,3.4496310142390736,19.43667676425032,0.0,0.0,0
01-2629,49.95212237389415,3.174262767152406,20.19353216089136,0.0,0.0,0
01-2740,47.87554622107943,2.3541913573044138,13.468251325815915,0.0,0.0,0
01-2219,47.86687751762688,2.690330821701368,16.81846631847254,0.0,0.0,0
01-1605,47.74505510674435,3.477886793382948,18.599470756427618,0.0,0.0,1
01-2380,47.44698714519842,2.954046976204186,15.611808495649573,0.0,0.0,0
01-1908,46.88949338485379,0.0,14.885288529593069,0.0,0.0,0
01-3048,44.73539618315584,2.4196113137034105,14.258097743252739,0.0,0.0,0
01-1033,44.021251303753374,3.4255521125886093,16.61516952003872,0.0,0.0,0
01-1719,43.87016669544737,2.605741226372115,0.0,0.0,0.0,0
01-1665,43.37234398728782,0.0,0.0,0.0,0.0,0
01-2542,43.18824513058543,2.451696199515689,0.0,0.0,0.0,0
01-2188,42.61919859419057,2.5592275455282345,0.0,0.0,0.0,0
01-1264,42.59995406130277,2.944656405980117,14.143513299563324,0.0,0.0,0
01-2357,41.717888502786806,3.3104375398791355,17.765148475196323,0.0,0.0,0
01-2541,41.62723136321758,2.765396908535075,15.931931735451348,0.0,0.0,0
01-1657,41.32074061890225,3.956093158824247,21.77617436493868,0.0,0.0,0
01-2424,41.0896856873428,2.7222213676146216,16.058847777028923,0.0,0.0,0
01-2951,40.74657027213254,2.406262999731717,12.989531732357586,0.0,0.0,0
01-3087,40.737655100378106,2.588576087368967,0.0,0.0,0.0,0
01-2535,40.39155493260166,2.965155993897199,16.08628644810306,0.0,0.0,0
01-1572,39.988682215707826,2.41685928388658,14.932539705709301,0.0,0.0,1
01-3112,39.9640092103798,2.342327451167685,11.965838187151558,0.0,0.0,0
01-1519,39.677733700589734,2.891137863044427,16.896374800057643,0.0,0.0,0
01-2378,39.35112431805615,3.1950359935589043,17.484867882486853,0.0,0.0,0
01-2054,39.31937454030786,2.9165037747223255,17.016338532053815,0.0,0.0,0
01-2003,39.08285283089385,2.6959362835782326,13.42228180722249,0.0,0.0,0
01-1752,39.07525300429293,2.80647917785439,17.098269010221156,0.0,0.0,0
01-2371,38.13826883230671,3.2312826070086396,17.04807515526518,0.0,0.0,0
01-1523,37.6610831973777,3.299440258708975,16.015066139626605,0.0,0.0,0
01-1749,37.40928390359187,2.9554938870223575,16.168861737214254,0.0,0.0,0
01-1410,36.74023269000776,2.792829194563722,19.45690720610195,0.0,0.0,1
01-1885,36.26865370260877,2.6796488666127942,12.360538034742135,0.0,0.0,0
01-2948,35.91276283716297,2.813829715182008,14.0324791452989,0.0,0.0,0
01-1161,35.871990431153996,3.0180007147188257,17.218189776758397,0.0,0.0,0
